event_id,user_id,content_id,content_name,content_type,watch_duration_mins,total_duration_mins,completion_pct,device_type,subscription_tier,city,city_tier,event_timestamp,source
EVT_000020,U00113,C002,KBC Season 15,GameShow,45.0,60,75.0,Smart TV,Annual,Mumbai,Tier 1,2024-01-14 19:00:00,OTT_APP
EVT_000021,U00411,C001,Anupamaa S1,Series,33.8,45,75.0,Laptop,Premium,Mumbai,Tier 1,2024-02-28 10:00:00,OTT_APP
EVT_000022,U00229,C004,Panchayat S3,Series,22.5,30,75.0,Smart TV,Annual,Hyderabad,Tier 2,2024-02-24 23:00:00,OTT_APP
EVT_000023,U00393,C004,Panchayat S3,Series,15.0,30,50.0,Laptop,Basic,Delhi,Tier 1,2024-03-22 14:00:00,OTT_APP
EVT_000024,U00172,C003,IPL 2024 Final,Sports,105.0,210,50.0,Tablet,Free,Chennai,Tier 1,2024-01-31 14:00:00,OTT_APP
EVT_000025,U00362,C002,KBC Season 15,GameShow,15.0,60,25.0,Smart TV,Free,Bangalore,Tier 1,2024-03-29 10:00:00,OTT_APP
EVT_000026,U00032,C004,Panchayat S3,Series,15.0,30,50.0,Smart TV,Annual,Hyderabad,Tier 2,2024-02-29 19:00:00,OTT_APP
EVT_000027,U00439,C004,Panchayat S3,Series,30.0,30,100.0,Laptop,Annual,Hyderabad,Tier 2,2024-03-30 06:00:00,OTT_APP
EVT_000028,U00276,C001,Anupamaa S1,Series,90.0,45,100.0,Smart TV,Annual,Chennai,Tier 1,2024-02-19 19:00:00,OTT_APP
EVT_000029,U00173,C002,KBC Season 15,GameShow,30.0,60,50.0,Laptop,Basic,Bangalore,Tier 1,2024-01-04 18:00:00,OTT_APP
EVT_000030,U00465,C004,Panchayat S3,Series,30.0,30,100.0,Laptop,Free,Hyderabad,Tier 2,2024-03-09 06:00:00,OTT_APP
EVT_000031,U00026,C001,Anupamaa S1,Series,33.8,45,75.0,Tablet,Annual,Delhi,Tier 1,2024-02-29 11:00:00,OTT_APP
EVT_000032,U00143,C003,IPL 2024 Final,Sports,105.0,210,50.0,Laptop,Premium,Chennai,Tier 1,2024-02-13 18:00:00,OTT_APP
EVT_000033,U00115,C001,Anupamaa S1,Series,22.5,45,50.0,Mobile,Free,Hyderabad,Tier 2,2024-01-07 17:00:00,OTT_APP
EVT_000034,U00123,C001,Anupamaa S1,Series,45.0,45,100.0,Smart TV,Annual,Delhi,Tier 1,2024-01-03 10:00:00,OTT_APP
EVT_000035,U00393,C001,Anupamaa S1,Series,33.8,45,75.0,Tablet,Basic,Delhi,Tier 1,2024-02-29 14:00:00,OTT_APP
EVT_000036,,C005,Mirzapur S3,Thriller,41.2,55,75.0,Mobile,Premium,Mumbai,Tier 1,2024-01-21 15:00:00,OTT_APP
EVT_000037,U00039,C005,Mirzapur S3,Thriller,41.2,55,75.0,Smart TV,Free,Bangalore,Tier 1,2024-02-20 12:00:00,OTT_APP
EVT_000038,U00178,C003,IPL 2024 Final,Sports,210.0,210,100.0,Laptop,Premium,Hyderabad,Tier 2,2024-01-16 07:00:00,OTT_APP
EVT_000039,U00422,C001,Anupamaa S1,Series,33.8,45,75.0,Laptop,Free,Chennai,Tier 1,2024-01-02 19:00:00,OTT_APP
EVT_000040,U00223,C004,Panchayat S3,Series,30.0,30,100.0,Smart TV,Premium,Bangalore,Tier 1,2024-03-31 10:00:00,OTT_APP
EVT_000041,U00224,C005,Mirzapur S3,Thriller,55.0,55,100.0,Tablet,Premium,Hyderabad,Tier 2,2024-03-02 20:00:00,OTT_APP
EVT_000042,U00125,C002,KBC Season 15,GameShow,60.0,60,100.0,Laptop,Annual,Mumbai,Tier 1,2024-02-05 20:00:00,OTT_APP
EVT_000043,U00109,C003,IPL 2024 Final,Sports,52.5,210,25.0,Tablet,Premium,Chennai,Tier 1,2024-01-24 21:00:00,OTT_APP
EVT_000044,U00285,C003,IPL 2024 Final,Sports,105.0,210,50.0,Mobile,Basic,Hyderabad,Tier 2,2024-03-30 14:00:00,OTT_APP
EVT_000045,U00389,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Annual,Bangalore,Tier 1,2024-03-03 23:00:00,OTT_APP
EVT_000046,U00114,C004,Panchayat S3,Series,15.0,30,50.0,Laptop,Basic,Mumbai,Tier 1,2024-01-12 15:00:00,OTT_APP
EVT_000047,U00272,C003,IPL 2024 Final,Sports,157.5,210,75.0,Tablet,Annual,Chennai,Tier 1,2024-03-01 23:00:00,OTT_APP
EVT_000048,U00129,C005,Mirzapur S3,Thriller,27.5,55,50.0,Smart TV,Free,Bangalore,Tier 1,2024-02-04 15:00:00,OTT_APP
EVT_000049,U00099,C002,KBC Season 15,GameShow,30.0,60,50.0,Smart TV,Annual,Hyderabad,Tier 2,2024-03-29 11:00:00,OTT_APP
EVT_000050,U00052,C003,IPL 2024 Final,Sports,157.5,210,75.0,Smart TV,Premium,Hyderabad,Tier 2,2024-03-17 15:00:00,OTT_APP
EVT_000051,U00065,C002,KBC Season 15,GameShow,30.0,60,50.0,Tablet,Free,Chennai,Tier 1,2024-01-02 23:00:00,OTT_APP
EVT_000052,U00053,C001,Anupamaa S1,Series,33.8,45,75.0,Mobile,Premium,Delhi,Tier 1,2024-03-22 21:00:00,OTT_APP
EVT_000053,U00130,C004,Panchayat S3,Series,15.0,30,50.0,Laptop,Free,Chennai,Tier 1,2024-01-24 07:00:00,OTT_APP
EVT_000054,U00078,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Premium,Mumbai,Tier 1,2024-03-14 07:00:00,OTT_APP
EVT_000055,U00311,C001,Anupamaa S1,Series,45.0,45,100.0,Smart TV,Annual,Mumbai,Tier 1,2024-03-12 19:00:00,OTT_APP
EVT_000056,,C004,Panchayat S3,Series,30.0,30,100.0,Mobile,Free,Chennai,Tier 1,2024-03-16 19:00:00,OTT_APP
EVT_000057,U00081,C002,KBC Season 15,GameShow,45.0,60,75.0,Smart TV,Basic,Chennai,Tier 1,2024-03-25 08:00:00,OTT_APP
EVT_000058,U00353,C005,Mirzapur S3,Thriller,13.8,55,25.0,Laptop,Premium,Mumbai,Tier 1,2024-02-22 20:00:00,OTT_APP
EVT_000059,U00037,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Premium,Chennai,Tier 1,2024-03-30 20:00:00,OTT_APP
EVT_000060,U00279,C005,Mirzapur S3,Thriller,41.2,55,75.0,Smart TV,Basic,Delhi,Tier 1,2024-02-24 09:00:00,OTT_APP
EVT_000061,,C003,IPL 2024 Final,Sports,210.0,210,100.0,Tablet,Premium,Mumbai,Tier 1,2024-01-08 11:00:00,OTT_APP
EVT_000062,U00483,C004,Panchayat S3,Series,7.5,30,25.0,Tablet,Annual,Chennai,Tier 1,2024-03-30 18:00:00,OTT_APP
EVT_000063,U00310,C004,Panchayat S3,Series,7.5,30,25.0,Tablet,Free,Mumbai,Tier 1,2024-02-25 16:00:00,OTT_APP
EVT_000064,U00392,C001,Anupamaa S1,Series,22.5,45,50.0,Tablet,Free,Hyderabad,Tier 2,2024-03-16 06:00:00,OTT_APP
EVT_000065,U00300,C002,KBC Season 15,GameShow,30.0,60,50.0,Laptop,Annual,Bangalore,Tier 1,2024-02-05 11:00:00,OTT_APP
EVT_000066,U00344,C001,Anupamaa S1,Series,22.5,45,50.0,Mobile,Basic,Bangalore,Tier 1,2024-02-12 16:00:00,OTT_APP
EVT_000067,U00417,C003,IPL 2024 Final,Sports,105.0,210,50.0,Mobile,Annual,Bangalore,Tier 1,2024-02-06 18:00:00,OTT_APP
EVT_000068,U00443,C001,Anupamaa S1,Series,22.5,45,50.0,Mobile,Annual,Chennai,Tier 1,2024-01-15 18:00:00,OTT_APP
EVT_000069,,C004,Panchayat S3,Series,7.5,30,25.0,Laptop,Free,Hyderabad,Tier 2,2024-02-16 21:00:00,OTT_APP
EVT_000070,U00451,C002,KBC Season 15,GameShow,30.0,60,50.0,Laptop,Free,Delhi,Tier 1,2024-02-06 20:00:00,OTT_APP
EVT_000071,U00160,C001,Anupamaa S1,Series,45.0,45,100.0,Mobile,Annual,Hyderabad,Tier 2,2024-01-31 11:00:00,OTT_APP
EVT_000072,U00332,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Annual,Mumbai,Tier 1,2024-02-29 09:00:00,OTT_APP
EVT_000073,U00242,C003,IPL 2024 Final,Sports,157.5,210,75.0,Smart TV,Annual,Chennai,Tier 1,2024-02-23 21:00:00,OTT_APP
EVT_000074,U00383,C005,Mirzapur S3,Thriller,13.8,55,25.0,Smart TV,Free,Delhi,Tier 1,2024-03-17 22:00:00,OTT_APP
EVT_000075,U00137,C003,IPL 2024 Final,Sports,210.0,210,100.0,Mobile,Premium,Bangalore,Tier 1,2024-02-13 22:00:00,OTT_APP
EVT_000076,U00444,C003,IPL 2024 Final,Sports,210.0,210,100.0,Smart TV,Annual,Hyderabad,Tier 2,2024-03-25 21:00:00,OTT_APP
EVT_000077,U00194,C005,Mirzapur S3,Thriller,27.5,55,50.0,Laptop,Premium,Chennai,Tier 1,2024-03-11 23:00:00,OTT_APP
EVT_000078,U00120,C002,KBC Season 15,GameShow,60.0,60,100.0,Laptop,Free,Delhi,Tier 1,2024-03-14 18:00:00,OTT_APP
EVT_000079,U00254,C003,IPL 2024 Final,Sports,157.5,210,75.0,Mobile,Basic,Bangalore,Tier 1,2024-02-19 10:00:00,OTT_APP
EVT_000080,U00052,C005,Mirzapur S3,Thriller,55.0,55,100.0,Laptop,Free,Chennai,Tier 1,2024-01-13 20:00:00,OTT_APP
EVT_000081,,C002,KBC Season 15,GameShow,30.0,60,50.0,Tablet,Premium,Delhi,Tier 1,2024-01-10 21:00:00,OTT_APP
EVT_000082,U00195,C005,Mirzapur S3,Thriller,41.2,55,75.0,Tablet,Annual,Mumbai,Tier 1,2024-02-12 23:00:00,OTT_APP
EVT_000083,U00117,C005,Mirzapur S3,Thriller,13.8,55,25.0,Mobile,Annual,Mumbai,Tier 1,2024-01-31 15:00:00,OTT_APP
EVT_000084,U00356,C001,Anupamaa S1,Series,45.0,45,100.0,Tablet,Free,Mumbai,Tier 1,2024-02-26 11:00:00,OTT_APP
EVT_000085,U00192,C001,Anupamaa S1,Series,22.5,45,50.0,Laptop,Basic,Mumbai,Tier 1,2024-02-07 17:00:00,OTT_APP
EVT_000086,U00088,C002,KBC Season 15,GameShow,45.0,60,75.0,Smart TV,Free,Hyderabad,Tier 2,2024-03-28 11:00:00,OTT_APP
EVT_000087,U00255,C005,Mirzapur S3,Thriller,55.0,55,100.0,Smart TV,Basic,Hyderabad,Tier 2,2024-03-28 13:00:00,OTT_APP
EVT_000088,,C004,Panchayat S3,Series,22.5,30,75.0,Laptop,Premium,Bangalore,Tier 1,2024-02-02 06:00:00,OTT_APP
EVT_000089,U00328,C005,Mirzapur S3,Thriller,13.8,55,25.0,Laptop,Premium,Bangalore,Tier 1,2024-02-14 15:00:00,OTT_APP
EVT_000090,U00055,C004,Panchayat S3,Series,30.0,30,100.0,Smart TV,Annual,Delhi,Tier 1,2024-02-19 21:00:00,OTT_APP
EVT_000091,U00012,C005,Mirzapur S3,Thriller,27.5,55,50.0,Laptop,Premium,Chennai,Tier 1,2024-03-30 15:00:00,OTT_APP
EVT_000092,U00427,C001,Anupamaa S1,Series,33.8,45,75.0,Tablet,Basic,Mumbai,Tier 1,2024-03-18 21:00:00,OTT_APP
EVT_000093,U00318,C005,Mirzapur S3,Thriller,55.0,55,100.0,Tablet,Basic,Delhi,Tier 1,2024-03-22 12:00:00,OTT_APP
EVT_000094,U00018,C001,Anupamaa S1,Series,45.0,45,100.0,Tablet,Basic,Mumbai,Tier 1,2024-02-09 20:00:00,OTT_APP
EVT_000095,U00103,C001,Anupamaa S1,Series,45.0,45,100.0,Smart TV,Premium,Chennai,Tier 1,2024-02-23 11:00:00,OTT_APP
EVT_000096,U00468,C005,Mirzapur S3,Thriller,41.2,55,75.0,Laptop,Premium,Chennai,Tier 1,2024-01-22 14:00:00,OTT_APP
EVT_000097,U00387,C003,IPL 2024 Final,Sports,210.0,210,100.0,Smart TV,Annual,Bangalore,Tier 1,2024-01-10 10:00:00,OTT_APP
EVT_000098,U00275,C005,Mirzapur S3,Thriller,27.5,55,50.0,Mobile,Annual,Bangalore,Tier 1,2024-01-02 14:00:00,OTT_APP
EVT_000099,U00422,C003,IPL 2024 Final,Sports,157.5,210,75.0,Tablet,Free,Chennai,Tier 1,2024-03-15 18:00:00,OTT_APP
EVT_000100,U00469,C002,KBC Season 15,GameShow,30.0,60,50.0,Smart TV,Free,Hyderabad,Tier 2,2024-03-12 16:00:00,OTT_APP
EVT_000101,U00060,C004,Panchayat S3,Series,30.0,30,100.0,Smart TV,Free,Chennai,Tier 1,2024-03-24 19:00:00,OTT_APP
EVT_000102,U00121,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Annual,Bangalore,Tier 1,2024-01-15 09:00:00,OTT_APP
EVT_000103,U00454,C004,Panchayat S3,Series,60.0,30,50.0,Laptop,Free,Hyderabad,Tier 2,2024-02-23 10:00:00,OTT_APP
EVT_000104,U00112,C004,Panchayat S3,Series,22.5,30,75.0,Laptop,Annual,Chennai,Tier 1,2024-01-05 17:00:00,OTT_APP
EVT_000105,U00279,C002,KBC Season 15,GameShow,60.0,60,100.0,Tablet,Free,Mumbai,Tier 1,2024-03-28 17:00:00,OTT_APP
EVT_000106,U00340,C004,Panchayat S3,Series,15.0,30,50.0,Smart TV,Free,Mumbai,Tier 1,2024-02-28 08:00:00,OTT_APP
EVT_000107,U00036,C001,Anupamaa S1,Series,45.0,45,100.0,Smart TV,Basic,Delhi,Tier 1,2024-01-17 12:00:00,OTT_APP
EVT_000108,U00142,C002,KBC Season 15,GameShow,30.0,60,50.0,Smart TV,Basic,Delhi,Tier 1,2024-03-17 06:00:00,OTT_APP
EVT_000109,U00068,C005,Mirzapur S3,Thriller,27.5,55,50.0,Mobile,Premium,Delhi,Tier 1,2024-01-15 06:00:00,OTT_APP
EVT_000110,U00027,C002,KBC Season 15,GameShow,45.0,60,75.0,Smart TV,Annual,Mumbai,Tier 1,2024-01-23 14:00:00,OTT_APP
EVT_000111,,C005,Mirzapur S3,Thriller,13.8,55,25.0,Tablet,Free,Mumbai,Tier 1,2024-03-01 20:00:00,OTT_APP
EVT_000112,,C004,Panchayat S3,Series,22.5,30,75.0,Laptop,Free,Hyderabad,Tier 2,2024-01-06 22:00:00,OTT_APP
EVT_000113,U00252,C001,Anupamaa S1,Series,45.0,45,100.0,Laptop,Free,Bangalore,Tier 1,2024-02-24 09:00:00,OTT_APP
EVT_000114,U00141,C001,Anupamaa S1,Series,22.5,45,50.0,Tablet,Annual,Delhi,Tier 1,2024-01-09 10:00:00,OTT_APP
EVT_000115,U00051,C005,Mirzapur S3,Thriller,41.2,55,75.0,Mobile,Basic,Bangalore,Tier 1,2024-03-05 19:00:00,OTT_APP
EVT_000116,U00424,C004,Panchayat S3,Series,15.0,30,50.0,Laptop,Annual,Delhi,Tier 1,2024-02-22 16:00:00,OTT_APP
EVT_000117,U00341,C004,Panchayat S3,Series,22.5,30,75.0,Tablet,Premium,Chennai,Tier 1,2024-02-24 16:00:00,OTT_APP
EVT_000118,U00426,C002,KBC Season 15,GameShow,45.0,60,75.0,Mobile,Free,Bangalore,Tier 1,2024-01-09 08:00:00,OTT_APP
EVT_000119,U00031,C004,Panchayat S3,Series,7.5,30,25.0,Tablet,Free,Chennai,Tier 1,2024-01-17 23:00:00,OTT_APP
EVT_000120,U00308,C004,Panchayat S3,Series,15.0,30,50.0,Tablet,Premium,Bangalore,Tier 1,2024-01-07 15:00:00,OTT_APP
EVT_000121,U00115,C001,Anupamaa S1,Series,33.8,45,75.0,Mobile,Premium,Delhi,Tier 1,2024-01-20 21:00:00,OTT_APP
EVT_000122,U00414,C005,Mirzapur S3,Thriller,27.5,55,50.0,Laptop,Free,Chennai,Tier 1,2024-03-14 13:00:00,OTT_APP
EVT_000123,U00140,C005,Mirzapur S3,Thriller,55.0,55,100.0,Tablet,Premium,Chennai,Tier 1,2024-01-04 11:00:00,OTT_APP
EVT_000124,U00036,C003,IPL 2024 Final,Sports,52.5,210,25.0,Smart TV,Free,Delhi,Tier 1,2024-03-13 18:00:00,OTT_APP
EVT_000125,U00233,C001,Anupamaa S1,Series,33.8,45,75.0,Tablet,Basic,Delhi,Tier 1,2024-02-18 19:00:00,OTT_APP
EVT_000126,U00453,C003,IPL 2024 Final,Sports,105.0,210,50.0,Mobile,Basic,Chennai,Tier 1,2024-03-13 08:00:00,OTT_APP
EVT_000127,U00140,C002,KBC Season 15,GameShow,60.0,60,100.0,Laptop,Annual,Mumbai,Tier 1,2024-03-27 08:00:00,OTT_APP
EVT_000128,U00387,C004,Panchayat S3,Series,22.5,30,75.0,Mobile,Premium,Bangalore,Tier 1,2024-02-04 12:00:00,OTT_APP
EVT_000129,U00342,C004,Panchayat S3,Series,7.5,30,25.0,Tablet,Free,Hyderabad,Tier 2,2024-03-03 22:00:00,OTT_APP
EVT_000130,U00105,C002,KBC Season 15,GameShow,30.0,60,50.0,Tablet,Basic,Hyderabad,Tier 2,2024-01-08 06:00:00,OTT_APP
EVT_000131,U00004,C002,KBC Season 15,GameShow,60.0,60,100.0,Laptop,Annual,Chennai,Tier 1,2024-02-11 09:00:00,OTT_APP
EVT_000132,U00257,C002,KBC Season 15,GameShow,15.0,60,25.0,Tablet,Free,Hyderabad,Tier 2,2024-03-31 13:00:00,OTT_APP
EVT_000133,U00236,C004,Panchayat S3,Series,30.0,30,100.0,Mobile,Premium,Mumbai,Tier 1,2024-02-25 06:00:00,OTT_APP
EVT_000134,U00149,C005,Mirzapur S3,Thriller,27.5,55,50.0,Mobile,Annual,Bangalore,Tier 1,2024-03-31 19:00:00,OTT_APP
EVT_000135,U00426,C001,Anupamaa S1,Series,45.0,45,100.0,Tablet,Free,Delhi,Tier 1,2024-03-20 20:00:00,OTT_APP
EVT_000136,U00269,C004,Panchayat S3,Series,30.0,30,100.0,Mobile,Annual,Delhi,Tier 1,2024-02-25 18:00:00,OTT_APP
EVT_000137,U00040,C003,IPL 2024 Final,Sports,157.5,210,75.0,Mobile,Basic,Delhi,Tier 1,2024-02-12 11:00:00,OTT_APP
EVT_000138,U00075,C003,IPL 2024 Final,Sports,105.0,210,50.0,Tablet,Basic,Delhi,Tier 1,2024-01-31 09:00:00,OTT_APP
EVT_000139,U00238,C002,KBC Season 15,GameShow,45.0,60,75.0,Laptop,Premium,Mumbai,Tier 1,2024-01-23 21:00:00,OTT_APP
EVT_000140,U00324,C003,IPL 2024 Final,Sports,52.5,210,25.0,Tablet,Premium,Mumbai,Tier 1,2024-03-01 20:00:00,OTT_APP
EVT_000141,U00237,C005,Mirzapur S3,Thriller,13.8,55,25.0,Laptop,Free,Hyderabad,Tier 2,2024-01-10 15:00:00,OTT_APP
EVT_000142,U00315,C001,Anupamaa S1,Series,22.5,45,50.0,Laptop,Annual,Chennai,Tier 1,2024-01-10 08:00:00,OTT_APP
EVT_000143,U00165,C005,Mirzapur S3,Thriller,41.2,55,75.0,Laptop,Basic,Mumbai,Tier 1,2024-02-27 12:00:00,OTT_APP
EVT_000144,U00331,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Free,Chennai,Tier 1,2024-01-11 22:00:00,OTT_APP
EVT_000145,U00313,C002,KBC Season 15,GameShow,45.0,60,75.0,Smart TV,Premium,Bangalore,Tier 1,2024-03-08 22:00:00,OTT_APP
EVT_000146,,C003,IPL 2024 Final,Sports,210.0,210,100.0,Mobile,Premium,Bangalore,Tier 1,2024-02-22 16:00:00,OTT_APP
EVT_000147,U00146,C001,Anupamaa S1,Series,22.5,45,50.0,Tablet,Basic,Hyderabad,Tier 2,2024-03-27 18:00:00,OTT_APP
EVT_000148,U00496,C003,IPL 2024 Final,Sports,52.5,210,25.0,Laptop,Basic,Delhi,Tier 1,2024-02-14 15:00:00,OTT_APP
EVT_000149,U00193,C005,Mirzapur S3,Thriller,41.2,55,75.0,Tablet,Basic,Mumbai,Tier 1,2024-02-09 23:00:00,OTT_APP
EVT_000150,U00010,C005,Mirzapur S3,Thriller,13.8,55,25.0,Tablet,Premium,Bangalore,Tier 1,2024-03-06 17:00:00,OTT_APP
EVT_000151,U00116,C002,KBC Season 15,GameShow,60.0,60,100.0,Smart TV,Basic,Chennai,Tier 1,2024-03-03 12:00:00,OTT_APP
EVT_000152,U00428,C001,Anupamaa S1,Series,22.5,45,50.0,Mobile,Premium,Mumbai,Tier 1,2024-03-05 23:00:00,OTT_APP
EVT_000153,U00093,C005,Mirzapur S3,Thriller,13.8,55,25.0,Smart TV,Annual,Bangalore,Tier 1,2024-01-20 11:00:00,OTT_APP
EVT_000154,U00386,C001,Anupamaa S1,Series,22.5,45,50.0,Laptop,Basic,Delhi,Tier 1,2024-02-26 15:00:00,OTT_APP
EVT_000155,U00348,C005,Mirzapur S3,Thriller,27.5,55,50.0,Laptop,Annual,Bangalore,Tier 1,2024-01-25 17:00:00,OTT_APP
EVT_000156,U00495,C003,IPL 2024 Final,Sports,210.0,210,100.0,Smart TV,Basic,Hyderabad,Tier 2,2024-03-08 19:00:00,OTT_APP
EVT_000157,U00448,C005,Mirzapur S3,Thriller,13.8,55,25.0,Tablet,Free,Chennai,Tier 1,2024-01-07 21:00:00,OTT_APP
EVT_000158,U00140,C005,Mirzapur S3,Thriller,55.0,55,100.0,Laptop,Basic,Chennai,Tier 1,2024-01-11 11:00:00,OTT_APP
EVT_000159,U00477,C004,Panchayat S3,Series,7.5,30,25.0,Mobile,Annual,Delhi,Tier 1,2024-02-27 17:00:00,OTT_APP
EVT_000160,U00042,C001,Anupamaa S1,Series,22.5,45,50.0,Tablet,Basic,Chennai,Tier 1,2024-01-31 18:00:00,OTT_APP
EVT_000161,U00406,C001,Anupamaa S1,Series,22.5,45,50.0,Smart TV,Basic,Mumbai,Tier 1,2024-03-24 16:00:00,OTT_APP
EVT_000162,U00389,C001,Anupamaa S1,Series,22.5,45,50.0,Laptop,Annual,Bangalore,Tier 1,2024-03-30 10:00:00,OTT_APP
EVT_000163,U00111,C005,Mirzapur S3,Thriller,13.8,55,25.0,Smart TV,Annual,Mumbai,Tier 1,2024-01-03 14:00:00,OTT_APP
EVT_000164,U00025,C001,Anupamaa S1,Series,45.0,45,100.0,Smart TV,Annual,Delhi,Tier 1,2024-02-08 09:00:00,OTT_APP
EVT_000165,U00009,C005,Mirzapur S3,Thriller,27.5,55,50.0,Smart TV,Basic,Mumbai,Tier 1,2024-03-04 23:00:00,OTT_APP
EVT_000166,U00293,C003,IPL 2024 Final,Sports,105.0,210,50.0,Laptop,Basic,Hyderabad,Tier 2,2024-02-15 13:00:00,OTT_APP
EVT_000167,U00279,C001,Anupamaa S1,Series,33.8,45,75.0,Mobile,Annual,Chennai,Tier 1,2024-01-09 22:00:00,OTT_APP
EVT_000168,U00383,C004,Panchayat S3,Series,7.5,30,25.0,Mobile,Premium,Bangalore,Tier 1,2024-02-17 14:00:00,OTT_APP
EVT_000169,U00069,C001,Anupamaa S1,Series,22.5,45,50.0,Mobile,Premium,Mumbai,Tier 1,2024-03-15 16:00:00,OTT_APP
EVT_000170,U00357,C005,Mirzapur S3,Thriller,27.5,55,50.0,Laptop,Basic,Delhi,Tier 1,2024-03-28 20:00:00,OTT_APP
EVT_000171,U00104,C002,KBC Season 15,GameShow,15.0,60,25.0,Mobile,Basic,Bangalore,Tier 1,2024-01-05 15:00:00,OTT_APP
EVT_000172,U00418,C001,Anupamaa S1,Series,22.5,45,50.0,Laptop,Premium,Chennai,Tier 1,2024-03-06 18:00:00,OTT_APP
EVT_000173,U00442,C001,Anupamaa S1,Series,45.0,45,100.0,Mobile,Premium,Delhi,Tier 1,2024-02-06 17:00:00,OTT_APP
EVT_000174,U00381,C003,IPL 2024 Final,Sports,52.5,210,25.0,Laptop,Annual,Chennai,Tier 1,2024-02-25 18:00:00,OTT_APP
EVT_000175,U00189,C003,IPL 2024 Final,Sports,210.0,210,100.0,Tablet,Free,Bangalore,Tier 1,2024-03-29 21:00:00,OTT_APP
EVT_000176,U00151,C004,Panchayat S3,Series,7.5,30,25.0,Tablet,Free,Hyderabad,Tier 2,2024-01-24 23:00:00,OTT_APP
EVT_000177,U00309,C001,Anupamaa S1,Series,22.5,45,50.0,Laptop,Basic,Chennai,Tier 1,2024-02-09 20:00:00,OTT_APP
EVT_000178,U00141,C004,Panchayat S3,Series,15.0,30,50.0,Mobile,Free,Mumbai,Tier 1,2024-02-15 19:00:00,OTT_APP
EVT_000179,U00435,C004,Panchayat S3,Series,15.0,30,50.0,Laptop,Free,Delhi,Tier 1,2024-01-04 10:00:00,OTT_APP
